,Date,RG01,RG02,RG03,RG04,RG05,RG07,RG08,RG09,RG10_30,RG11,RG12,RG14,RG15,RG16,RG17,RG18,RG20_25
0,11/30/2002,2.43,3.36,2.88,2.48,0.78,2.49,2.57,2.93,3.25,2.38,2.59,2.46,3.06,2.69,3.59,3.17,3.15
1,12/31/2002,4.31,1.4,5.46,4.8,1.99,5.06,2.48,2.35,6.48,4.95,5.71,3.57,5.77,3.28,5.77,6.02,5.6
2,01/31/2003,6.55,7.35,5.84,6.48,7.57,4.47,7.39,7.31,5.42,6.58,7.58,5.72,7.47,8.32,9.69,7.66,7.17
3,02/28/2003,1.61,1.81,1.7,1.49,1.11,1.5,1.56,1.73,1.18,1.37,1.47,1.33,1.19,1.21,1.52,1.09,1.34
4,03/31/2003,5.01,5.88,3.12,5.01,5.09,5.15,5.14,5.01,5.68,4.01,5.16,4.57,5.5,5.61,5.62,5.49,4.89
5,04/30/2003,2.27,3.15,2.69,2.56,2.2,2.49,2.5,1.45,1.78,2.34,2.44,2.14,2.47,1.33,3.31,1.74,2.01
6,05/31/2003,0.91,1.49,1.51,1.4,0.43,1.59,0.98,0.93,0.83,1.45,1.63,0.81,0.23,0.58,0.77,0.85,1.47
7,06/30/2003,0.49,0.89,0.4,0.34,0.57,0.94,0.75,0.79,0.33,0.82,0.87,0.72,0.27,0.52,0.66,0.59,0.87
8,07/31/2003,0.12,0.18,0.16,0.51,0.17,0.89,0.21,0.06,0.14,0.2,0.21,0.15,0.14,0.21,0.17,0.01,0.0
9,08/31/2003,0.33,0.46,0.29,0.26,0.37,1.33,0.57,0.22,0.68,0.3,0.57,0.47,0.18,0.3,0.49,0.25,0.24
10,09/30/2003,0.97,0.2,0.39,0.91,0.66,1.92,0.63,0.99,0.4,0.73,0.63,0.79,0.35,1.3,1.14,1.22,0.54
11,10/31/2003,6.32,7.75,6.33,5.23,6.59,6.72,6.99,7.04,7.39,6.64,6.99,6.52,3.66,7.47,8.41,7.47,7.14
12,11/30/2003,2.54,4.51,5.09,5.15,5.76,6.47,5.93,5.63,4.71,5.3,5.93,4.8,3.43,6.08,7.45,6.08,5.71
13,12/31/2003,3.19,3.9,3.04,2.69,3.14,4.68,4.58,4.58,4.13,3.72,4.58,2.93,3.31,4.98,4.47,4.32,3.63
14,01/31/2004,4.23,5.88,4.79,5.88,4.81,5.43,5.93,5.93,5.04,6.67,6.77,5.22,4.96,4.96,5.86,5.31,5.83
15,02/29/2004,2.19,2.75,2.41,2.75,2.65,2.08,2.56,2.56,2.59,2.45,2.45,2.23,2.76,2.79,3.17,2.53,2.49
16,03/31/2004,1.72,1.95,1.85,1.95,1.68,1.72,1.7,1.7,2.21,1.93,1.93,2.13,1.97,1.97,2.1,2.5,2.03
17,04/30/2004,0.55,0.76,0.64,0.76,0.38,0.55,0.55,0.55,0.38,0.7,0.7,0.53,0.38,0.38,0.38,0.38,0.47
18,05/31/2004,2.54,2.21,2.46,2.21,1.94,2.31,2.59,2.59,1.46,2.86,2.86,2.1,2.58,1.87,1.74,2.84,2.68
19,06/30/2004,0.36,0.73,0.72,0.73,0.57,0.36,0.86,0.86,0.57,0.63,0.63,0.57,0.54,0.57,0.57,0.57,0.63
